TICKER,Company_Name,Sector,Industry
XXII,"22nd Century Group, Inc",Consumer Non-Durables,Farming/Seeds/Milling
FAX,Aberdeen Asia-Pacific Income Fund Inc,n/a,n/a
IAF,Aberdeen Australia Equity Fund Inc,n/a,n/a
CH,"Aberdeen Chile Fund, Inc.",n/a,n/a
ETF,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,n/a,n/a
FCO,"Aberdeen Global Income Fund, Inc.",n/a,n/a
IF,"Aberdeen Indonesia Fund, Inc.",n/a,n/a
ISL,"Aberdeen Israel Fund, Inc.",n/a,n/a
ACU,Acme United Corporation.,Capital Goods,Industrial Machinery/Components
ATNM,"Actinium Pharmaceuticals, Inc.",Finance,Business Services
AE,"Adams Resources & Energy, Inc.",Energy,Oil Refining/Marketing
ADK,Adcare Health Systems Inc,Health Care,Hospital/Nursing Management
ADK^A,Adcare Health Systems Inc,n/a,n/a
API,"Advanced Photonix, Inc.",Technology,Semiconductors
ACY,AeroCentury Corp.,Technology,Diversified Commercial Services
AIRI,Air Industries Group,Capital Goods,Military/Government/Technical
AA^,Alcoa Inc.,Capital Goods,Metal Fabrications
AXX,Alderon Iron Ore Corp.,Basic Industries,Precious Metals
AXU,Alexco Resource Corp,Basic Industries,Precious Metals
ANV,Allied Nevada Gold Corp.,Basic Industries,Precious Metals
AAU,"Almaden Minerals, Ltd.",Basic Industries,Precious Metals
APT,"Alpha Pro Tech, Ltd.",Health Care,Industrial Specialties
ALTV,Alteva (D/B/A),Public Utilities,Telecommunications Equipment
AAMC,Altisource Asset Management Corp,Finance,Real Estate
DIT,AMCON Distributing Company,Consumer Non-Durables,Food Distributors
APP,American Apparel Inc,Finance,Business Services
ADGE,American DG Energy Inc.,Energy,Electric Utilities: Central
AMZG,American Eagle Energy Corporation.,Basic Industries,Precious Metals
ALN,American Lorain Corporation,Consumer Non-Durables,Packaged Foods
AMS,American Shared Hospital Services,Health Care,Medical Specialities
AQQ,"American Spectrum Realty, Inc.",Consumer Services,Real Estate Investment Trusts
AMPE,"Ampio Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AXN,"Aoxing Pharmaceutical Company, Inc.",Health Care,Major Pharmaceuticals
AMCO,"Armco Metals Holdings, Inc.",Consumer Durables,Steel/Iron Ore
HRT,Arrhythmia Research Technology Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AKG,Asanko Gold Inc.,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
ATL,Atlatsa Resources Corporation,Basic Industries,Precious Metals
AZC,Augusta Resource Corporation,Basic Industries,Precious Metals
AWX,Avalon Holdings Corporation,Public Utilities,Environmental Services
AVL,"Avalon Rare Metals, Inc.",Basic Industries,Precious Metals
ASM,Avino Silver,Basic Industries,Precious Metals
BTG,B2Gold Corp,Basic Industries,Precious Metals
BONE,"Bacterin International Holdings, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BTN,"Ballantyne Strong, Inc",Miscellaneous,Industrial Machinery/Components
BKJ,"Bancorp of New Jersey, Inc",Finance,Major Banks
BCV,Bancroft Fund Limited,n/a,n/a
BAA,BANRO CORPORATION,Basic Industries,Precious Metals
BHB,"Bar Harbor Bankshares, Inc.",Finance,Major Banks
BRN,"Barnwell Industries, Inc.",Energy,Oil & Gas Production
BXE,Bellatrix Exploration Ltd,Energy,Oil & Gas Production
BIR^A,"Berkshire Income Realty, Inc.",n/a,n/a
BTX,"BioTime, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BGI,Birks Group Inc.,n/a,n/a
BQY,BlackRock Dividend Income Trust,n/a,n/a
BZM,BlackRock Maryland Municipal Bond Trust,n/a,n/a
MHE,BlackRock Massachusetts Tax-Exempt Trust,n/a,n/a
BLE,BlackRock Municipal Income Trust II,n/a,n/a
BLJ,Blackrock New Jersey Municipal Bond Trust,n/a,n/a
BFY,BlackRock New York Municipal Income Trust II,n/a,n/a
BPS,BlackRock Pennsylvania Strategic Municipal Trust (The),n/a,n/a
BHV,BlackRock Virginia Municipal Bond Trust,n/a,n/a
BDR,"Blonder Tongue Laboratories, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
BRG,"Bluerock Residential Growth REIT, Inc.",Consumer Services,Real Estate Investment Trusts
BVX,Bovie Medical Corporation,Health Care,Medical/Dental Instruments
BWL/A,"Bowl America, Inc.",Consumer Services,Services-Misc. Amusement & Recreation
BZC,Breeze-Eastern Corporation,Capital Goods,Military/Government/Technical
BTI,British American Tobacco p.l.c.,Consumer Non-Durables,Farming/Seeds/Milling
CAK,CAMAC Energy Inc.,Energy,Oil & Gas Production
CANF,Can-Fite Biopharma Ltd,Health Care,Major Pharmaceuticals
ROX,"Castle Brands, Inc.",Consumer Non-Durables,Beverages (Production/Distribution)
CAW,"CCA Industries, Inc.",Consumer Non-Durables,Package Goods/Cosmetics
CVM,Cel-Sci Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVM/WS,Cel-Sci Corporation,n/a,n/a
CEF,Central Fund of Canada Limited,n/a,n/a
GTU,Central Gold Trust,n/a,n/a
CET,Central Securities Corporation,n/a,n/a
CCF,Chase Corporation,Consumer Durables,Building Products
CQH,"Cheniere Energy Partners LP Holdings, LLC",Public Utilities,Oil/Gas Transmission
CQP,"Cheniere Energy Partners, LP",Public Utilities,Oil/Gas Transmission
LNG,"Cheniere Energy, Inc.",Public Utilities,Oil/Gas Transmission
CVR,Chicago Rivet & Machine Co.,Technology,Industrial Machinery/Components
CNR,China Metro-Rural Holdings Limited,Finance,Real Estate
CPHI,"China Pharma Holdings, Inc.",Health Care,Major Pharmaceuticals
CKX,"CKX Lands, Inc.",Energy,Oil & Gas Production
GLV,Clough Global Allocation Fund,n/a,n/a
GLQ,Clough Global Equity Fund,n/a,n/a
GLO,Clough Global Opportunities Fund,n/a,n/a
CRV,"Coast Distribution System, Inc. (The)",Capital Goods,Automotive Aftermarket
MOC,Command Security Corporation,Consumer Services,Diversified Commercial Services
CIX,CompX International Inc.,Capital Goods,Industrial Machinery/Components
LODE,"Comstock Mining, Inc.",Basic Industries,Precious Metals
CTO,Consolidated-Tomoka Land Co.,Finance,Real Estate
CEP,"Constellation Energy Partners, LLC",Energy,Oil & Gas Production
MCF,Contango Oil & Gas Company,Energy,Oil & Gas Production
CUO,Continental Materials Corporation,Capital Goods,Building Materials
CMT,Core Molding Technologies Inc,Consumer Non-Durables,Plastic Products
CRMD,CorMedix Inc,Health Care,Major Pharmaceuticals
CRMD/WS,CorMedix Inc,n/a,n/a
CFP,Cornerstone Progressive Return Fund,n/a,n/a
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",n/a,n/a
CLM,"Cornerstone Strategic Value Fund, Inc.",n/a,n/a
COVR,Cover-All Technologies Inc.,Technology,Computer Software: Prepackaged Software
CVU,"CPI Aerostructures, Inc.",Capital Goods,Military/Government/Technical
CIK,"Credit Suisse Asset Management Income Fund, Inc.",n/a,n/a
DHY,Credit Suisse High Yield Bond Fund,n/a,n/a
EXE,"Crexendo, Inc.",Technology,EDP Services
CRVP,"Crystal Rock Holdings, Inc.",Consumer Non-Durables,Food Distributors
CTP,CTPartners Executive Search Inc.,Technology,Diversified Commercial Services
DAKP,"Dakota Plains Holdings, Inc.",Energy,Oil Refining/Marketing
DXR,Daxor Corporation,Health Care,Medical/Dental Instruments
DEJ,Dejour Energy Inc.,Energy,Oil & Gas Production
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",n/a,n/a
VFL,Delaware Investments Florida Insured Municipal Income Fund,n/a,n/a
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",n/a,n/a
DLA,"Delta Apparel, Inc.",Consumer Non-Durables,Apparel
DNN,Denison Mine Corp,Basic Industries,Precious Metals
DGSE,"DGSE Companies, Inc.",Consumer Services,Consumer Specialties
DPW,Digital Power Corporation,Capital Goods,Industrial Machinery/Components
DSS,"Document Security Systems, Inc.",Technology,EDP Services
DMF,"Dreyfus Municipal Income, Inc.",n/a,n/a
GRF,"Eagle Capital Growth Fund, Inc.",n/a,n/a
ESTE,"Earthstone Energy, Inc.",Energy,Oil & Gas Production
EVM,Eaton Vance California Municipal Bond Fund,n/a,n/a
EIA,Eaton Vance California Municipal Bond Fund II,n/a,n/a
CEV,Eaton Vance California Municipal Income Trust,n/a,n/a
EVV,Eaton Vance Limited Duration Income Fund,n/a,n/a
MAB,Eaton Vance Massachusetts Municipal Bond Fund,n/a,n/a
MMV,Eaton Vance Massachusetts Municipal Income Trust,n/a,n/a
MIW,Eaton Vance Michigan Municipal Bond Fund,n/a,n/a
EMI,Eaton Vance Michigan Municipal Income Trust,n/a,n/a
EIM,Eaton Vance Municipal Bond Fund,n/a,n/a
EIV,Eaton Vance Municipal Bond Fund II,n/a,n/a
EMJ,Eaton Vance New Jersey Municipal Bond Fund,n/a,n/a
EVJ,Eaton Vance New Jersey Municipal Income Trust,n/a,n/a
ENX,Eaton Vance New York Municipal Bond Fund,n/a,n/a
NYH,Eaton Vance New York Municipal Bond Fund II,n/a,n/a
EVY,Eaton Vance New York Municipal Income Trust,n/a,n/a
EIO,Eaton Vance Ohio Municipal Bond Fund,n/a,n/a
EVO,Eaton Vance Ohio Municipal Income Trust,n/a,n/a
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,n/a,n/a
EVP,Eaton Vance Pennsylvania Municipal Income Trust,n/a,n/a
ELMD,"Electromed, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ETAK,Elephant Talk Communications Corp.,Public Utilities,Telecommunications Equipment
ELLO,Ellomay Capital Ltd.,Public Utilities,Electric Utilities: Central
ECF,"Ellsworth Convertible Growth and Income Fund, Inc.",n/a,n/a
EMAN,eMagin Corporation,Technology,Semiconductors
EOX,"Emerald Oil, Inc.",Energy,Oil & Gas Production
MSN,Emerson Radio Corporation,Consumer Non-Durables,Consumer Electronics/Appliances
UUUU,Energy Fuels Inc,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
ENRJ,"EnerJex Resources, Inc.",Energy,Oil & Gas Production
ENRJ^,"EnerJex Resources, Inc.",n/a,n/a
ENSV,ENSERVCO Corporation,Energy,Oilfield Services/Equipment
EGI,Entree Gold Inc,Basic Industries,Precious Metals
EVI,"EnviroStarm, Inc.",Consumer Services,Other Consumer Services
ERB,"ERBA Diagnostics, Inc.",Health Care,Major Pharmaceuticals
ESP,Espey Mfg. & Electronics Corp.,Capital Goods,Industrial Machinery/Components
EMXX,Eurasian Minerals Inc.,Basic Industries,Precious Metals
EVBN,"Evans Bancorp, Inc.",Finance,Major Banks
EVK,"Ever-Glory International Group, Inc.",Consumer Non-Durables,Apparel
EPM,"Evolution Petroleum Corporation, Inc.",Energy,Oil & Gas Production
EPM^A,"Evolution Petroleum Corporation, Inc.",n/a,n/a
XRA,Exeter Resource Corporation,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
FPI,Farmland Partners Inc.,Consumer Services,Real Estate Investment Trusts
FPP,FieldPoint Petroleum Corporation,Energy,Oil & Gas Production
FPP/WS,FieldPoint Petroleum Corporation,n/a,n/a
MXN,"First American Minnesota Municipal Income Fund II, Inc.",n/a,n/a
FEN,First Trust Energy Income and Growth Fund,n/a,n/a
FWV,"First West Virginia Bancorp, Inc.",Finance,Major Banks
BDL,"Flanigan&#39;s Enterprises, Inc.",Consumer Services,Restaurants
FSI,Flexible Solutions International Inc.,Basic Industries,Major Chemicals
FTF,Franklin Limited Duration Income Trust,n/a,n/a
FSP,Franklin Street Properties Corp.,Consumer Services,Real Estate Investment Trusts
FRD,Friedman Industries Inc.,Capital Goods,Steel/Iron Ore
FRS,"Frisch&#39;s Restaurants, Inc.",Consumer Services,Restaurants
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",n/a,n/a
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",n/a,n/a
EGAS,Gas Natural Inc.,Public Utilities,Oil/Gas Transmission
GST,Gastar Exploration Inc.,Energy,Oil & Gas Production
GST^A,Gastar Exploration Inc.,n/a,n/a
GST^B,Gastar Exploration Inc.,n/a,n/a
JOB,"General Employment Enterprises, Inc.",Technology,Diversified Commercial Services
GMO,"General Moly, Inc",Basic Industries,Precious Metals
GIG,"GigOptix, Inc.",Technology,Semiconductors
GSB,"GlobalSCAPE, Inc.",Technology,Computer Software: Prepackaged Software
GSAT,"Globalstar, Inc.",Consumer Services,Telecommunications Equipment
GLOW,"Glowpoint, Inc.",Public Utilities,Telecommunications Equipment
GORO,Gold Resource Corporation,Basic Industries,Precious Metals
GSV,Gold Standard Ventures Corporation,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AUMN,Golden Minerals Company,Basic Industries,Precious Metals
GSS,"Golden Star Resources, Ltd",Basic Industries,Precious Metals
GV,Goldfield Corporation (The),Basic Industries,Water Supply
GRC,Gorman-Rupp Company (The),Capital Goods,Fluid Controls
GTE,Gran Tierra Energy Inc.,Energy,Oil & Gas Production
GPL,Great Panther Silver Limited,Basic Industries,Precious Metals
GRH,"GreenHunter Resources, Inc.",Basic Industries,Major Chemicals
GRH^C,"GreenHunter Resources, Inc.",n/a,n/a
SIM,"Grupo Simec, S.A. de C.V.",Basic Industries,Steel/Iron Ore
GVP,"GSE Systems, Inc.",Technology,Computer Software: Prepackaged Software
GTT,"GTT Communications, Inc.",Public Utilities,Telecommunications Equipment
HEB,"Hemispherx BioPharma, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
HLM^,Hillman Group Capital Trust,n/a,n/a
HMG,"HMG/Courtland Properties, Inc.",Consumer Services,Real Estate Investment Trusts
HH,"Hooper Holmes, Inc.",Health Care,Hospital/Nursing Management
HUSA,Houston American Energy Corporation,Energy,Oil & Gas Production
IBIO,"iBio, Inc.",Health Care,Major Pharmaceuticals
IBO,IBO (Listing Market - NYSE Amex Network B F),n/a,n/a
IEC,IEC Electronics Corp.,Technology,Electrical Products
IG,"IGI Laboratories, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IMUC,"ImmunoCellular Therapeutics, Ltd.",Health Care,Major Pharmaceuticals
IMH,"Impac Mortgage Holdings, Inc.",Consumer Services,Real Estate Investment Trusts
IMO,Imperial Oil Limited,Energy,Integrated oil Companies
IOT,"Income Opportunity Realty Investors, Inc.",Consumer Services,Real Estate Investment Trusts
IRT,"Independence Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts
IGC,India Globalization Capital Inc.,Basic Industries,Precious Metals
IGC/WS,India Globalization Capital Inc.,n/a,n/a
INFU,"InfuSystems Holdings, Inc.",Health Care,Medical/Dental Instruments
IHT,InnSuites Hospitality Trust,Consumer Services,Real Estate Investment Trusts
NSPR,"InspireMD, Inc.",Health Care,Medical/Dental Instruments
IFMI,"Institutional Financial Markets, Inc.",Finance,Investment Bankers/Brokers/Service
IDN,"Intellicheck Mobilisa, Inc.",Technology,Computer Software: Prepackaged Software
INS,Intelligent Systems Corporation,Capital Goods,Metal Fabrications
THM,International Tower Hill Mines Ltd,Basic Industries,Precious Metals
INTT,inTest Corporation,Capital Goods,Electrical Products
INUV,"Inuvo, Inc",Consumer Services,Advertising
VKI,Invesco Advantage Municipal Income Trust II,n/a,n/a
ISR,"IsoRay, Inc.",Health Care,Medical/Dental Instruments
ISDR,Issuer Direct Corporation,Miscellaneous,Publishing
ITI,"Iteris, Inc.",Consumer Durables,Telecommunications Equipment
LTS,Ladenburg Thalmann Financial Services Inc,Finance,Investment Bankers/Brokers/Service
LTS^A,Ladenburg Thalmann Financial Services Inc,n/a,n/a
LSG,Lake Shore Gold Corp,Basic Industries,Precious Metals
LAQ,"Latin America Equity Fund, Inc. (The)",n/a,n/a
LGL,"LGL Group, Inc. (The)",Capital Goods,Industrial Machinery/Components
LGL/WS,"LGL Group, Inc. (The)",n/a,n/a
LBY,"Libbey, Inc.",Capital Goods,Industrial Machinery/Components
LBMH,"Liberator Medical Holdings, Inc.",Health Care,Medical/Nursing Services
LIQT,"LiqTech International, Inc.",Technology,Industrial Machinery/Components
LEI,"Lucas Energy, Inc.",Energy,Oil & Gas Production
MCZ,Mad Catz Interactive Inc,Consumer Non-Durables,Recreational Products/Toys
MVG,Mag Silver Corporation,Basic Industries,Precious Metals
MHR^C,Magnum Hunter Resources Corporation,n/a,n/a
MHR^D,Magnum Hunter Resources Corporation,n/a,n/a
MHR^E,Magnum Hunter Resources Corporation,n/a,n/a
MSTX,"Mast Therapeutics, Inc.",Health Care,Major Pharmaceuticals
MHH,"Mastech Holdings, Inc",Consumer Services,Professional Services
MDGN,"Medgenics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MDGN/WS,"Medgenics, Inc.",n/a,n/a
IPB,"Merrill Lynch & Co., Inc.",Finance,Finance: Consumer Services
MEA,Metalico Inc,Basic Industries,Metal Fabrications
MXC,Mexco Energy Corporation,Energy,Oil & Gas Production
CCA,MFS California Insured Municipal Trust,n/a,n/a
MGT,MGT Capital Investments Inc,Miscellaneous,Multi-Sector Companies
